#,Clinic,Division,District,Address,Latitude,Longitude,Source,Valid,OSM_ID
49,Kamolpur Community Clinic,Chattogram,Cumilla,"Lampur Kamolpur Road, Comilla, Cumilla",23.378479,91.266653,DGHS verified,Yes,252543158
50,Kocchoptoli Community Clinic,Chattogram,Chattogram,Chattogram,22.235883,92.347515,DGHS verified,Yes,11243296606
51,Mir Somaj Community Clinic,Chattogram,Noakhali,"Mir Somaj, Hatiya, Noakhali",22.578796,91.054823,DGHS verified,Yes,1210761582
52,Sah Somie nagoi community clinic,Chattogram,Chattogram,Chattogram,22.318427,91.852174,DGHS verified,Yes,3795800904
53,Shreehashy Community Clinic,Chattogram,Feni,Feni,23.125772,91.198734,DGHS verified,Yes,7739844012
54,মৈশাতুয়া কমিউনিটি ক্লিনিক,Chattogram,Cumilla,Cumilla,23.18731,91.06695,DGHS verified,Yes,1201907043
55,CUET Medical Centre,Chattogram,Chattogram,"CUET Main Road, CUET,Raojan, Chattogram, Chattogram",22.46084,91.970605,Healthsites/OSM sourced,Yes,681609361
56,Central Lab,Chattogram,Chattogram,Chattogram,22.360787,91.829708,Healthsites/OSM sourced,Yes,9601138205
57,"Chayapath Maternal and Child Health Services Clinic, Hamjarbag Rd, Hathazari, Chattogram",Chattogram,Chattogram,Chattogram,22.376944,91.831178,Healthsites/OSM sourced,Yes,11800784720
58,Cosmopolitan diagonostic center,Chattogram,Feni,Feni,23.014618,91.393721,Healthsites/OSM sourced,Yes,1059917842
59,Diagnosis Centre,Chattogram,Cumilla,Cumilla,23.376389,91.057951,Healthsites/OSM sourced,Yes,375098413
60,Epic Health Care,Chattogram,Chattogram,Chattogram,22.342685,91.835988,Healthsites/OSM sourced,Yes,9811572337
61,Agran Community Clinic,Rajshahi,Natore,Natore,24.31623,89.133561,DGHS verified,Yes,10901377123
62,"Bon Belgharia Community Clinic, Natore - Naogaon Hwy, Natore",Rajshahi,Natore,Natore,24.414376,88.95748,DGHS verified,Yes,1161965036
63,Gurpipul Community Clinic,Rajshahi,Sirajganj,Sirajganj,24.497086,89.367702,DGHS verified,Yes,442360885
64,"Pandithgram community clinic, 1 No. Chatni Union, Natore",Rajshahi,Natore,Natore,24.432647,88.958506,DGHS verified,Yes,1161949438
